,nac,region,sexo,edad,edu,ingreso,esc,region,prof,ing_nivel
170,1,1,1,52,14,180000,15,1,0,0
171,1,1,1,43,9,350000,9,1,0,0
172,1,1,2,22,9,150000,12,1,0,0
173,1,1,2,30,9,275000,12,1,0,0
174,1,1,2,39,9,276000,9,1,0,0
175,1,1,1,40,9,256000,9,1,0,0
176,3,1,2,30,9,350000,12,1,0,0
177,1,1,1,62,9,450000,12,1,0,0
178,1,1,1,33,9,388333,12,1,0,0
179,1,1,2,25,14,348333,14,1,0,0
180,1,1,1,21,13,"3,00E+05",15,1,0,0
181,1,1,1,43,11,"4,00E+05",11,1,0,0
182,1,1,2,30,9,350000,12,1,0,0
183,1,1,2,59,9,80000,12,1,0,0
184,1,1,2,42,11,"3,00E+05",12,1,0,0
185,1,1,1,51,9,"4,00E+05",10,1,0,0
186,1,1,2,51,7,"5,00E+05",6,1,0,0
187,1,1,1,22,11,50000,12,1,0,0
188,1,1,1,31,11,1088333,12,1,0,1
189,3,1,2,22,9,410000,9,1,0,0
190,1,1,1,37,11,650000,12,1,0,1
191,1,1,1,24,13,260000,15,1,0,0
192,1,1,2,37,9,480000,12,1,0,0
193,1,1,1,49,13,150000,15,1,0,0
194,3,1,1,50,7,"5,00E+05",7,1,0,0
195,3,1,1,41,11,"6,00E+05",12,1,0,1
196,1,1,1,48,13,295000,15,1,0,0
197,1,1,1,44,9,451775,12,1,0,0
198,1,1,1,40,11,750000,12,1,0,1
199,1,1,1,43,9,270000,12,1,0,0
200,3,1,2,40,9,270000,11,1,0,0
201,1,1,1,68,9,450000,11,1,0,0
202,1,1,1,69,8,380000,8,1,0,0
203,1,1,1,52,9,420000,10,1,0,0
204,1,1,2,46,9,450000,10,1,0,0
205,1,1,1,23,11,"6,00E+05",12,1,0,1
206,1,1,1,24,12,"2,00E+05",14,1,0,0
207,1,1,1,18,11,290000,12,1,0,0
208,1,1,2,25,14,120000,14,1,0,0
209,1,1,1,55,7,256000,6,1,0,0
210,2,1,2,38,9,311667,12,1,0,0
211,2,1,2,17,9,20000,11,1,0,0
212,1,1,1,58,9,280000,12,1,0,0
213,1,1,1,29,9,479167,12,1,0,0
214,1,1,2,28,9,280000,12,1,0,0
215,1,1,1,53,9,120000,12,1,0,0
216,1,1,2,58,9,160000,12,1,0,0
217,1,1,1,30,9,256000,12,1,0,0
218,1,1,2,32,11,221667,12,1,0,0
219,1,1,1,34,9,"5,00E+05",12,1,0,0
220,1,1,2,72,8,248000,10,1,0,0
221,1,1,1,45,9,248000,12,1,0,0
222,3,1,2,34,9,240000,12,1,0,0
223,1,1,1,60,8,"6,00E+05",12,1,0,1
224,1,1,2,59,11,"4,00E+05",12,1,0,0
225,1,1,2,53,9,"2,00E+05",9,1,0,0
226,3,1,2,30,9,270000,12,1,0,0
227,1,1,1,55,11,"8,00E+05",12,1,0,1
228,1,1,2,52,11,220000,10,1,0,0
229,1,1,1,28,14,835720,16,1,0,1
230,1,1,1,20,11,260130,10,1,0,0
231,1,1,2,76,1,50000,0,1,0,0
232,1,1,2,25,9,248000,12,1,0,0
233,3,1,1,36,7,"6,00E+05",3,1,0,1
234,1,1,2,27,15,"9,00E+05",18,1,1,1
235,1,1,1,23,15,273668,16,1,1,0
236,1,1,2,39,12,384167,15,1,0,0
237,1,1,1,35,9,150000,12,1,0,0
238,1,1,2,39,9,70000,12,1,0,0
239,1,1,2,42,13,388333,15,1,0,0
240,1,1,1,20,14,275000,14,1,0,0
241,1,1,1,73,9,251417,12,1,0,0
242,1,1,2,51,9,645834,12,1,0,1
243,1,1,1,61,9,50000,12,1,0,0
244,1,1,1,24,11,403333,12,1,0,0
245,1,1,1,24,9,276000,12,1,0,0
246,3,1,1,27,9,"3,00E+05",9,1,0,0
247,1,1,1,66,8,450000,12,1,0,0
248,1,1,2,57,9,"3,00E+05",12,1,0,0
249,1,1,1,28,12,"4,00E+05",14,1,0,0
250,2,1,1,73,15,1500000,16,1,1,1
251,3,1,1,35,11,357500,12,1,0,0
252,3,1,2,35,11,280000,12,1,0,0
253,1,1,1,73,14,350000,17,1,0,0
254,1,1,1,36,7,"3,00E+05",8,1,0,0
255,3,1,2,33,9,"3,00E+05",12,1,0,0
256,1,1,1,39,13,703333,14,1,0,1
257,1,1,2,21,9,275000,12,1,0,0
258,1,1,1,26,15,805833,16,1,1,1
259,1,1,2,22,15,508333,16,1,1,0
260,1,1,1,26,13,878250,15,1,0,1
261,1,1,1,38,13,"5,00E+05",15,1,0,0
262,1,1,1,39,13,552500,15,1,0,1
263,1,1,1,30,15,"8,00E+05",16,1,1,1
264,1,1,2,33,16,1200000,17,1,1,1
265,1,1,1,40,13,"6,00E+05",15,1,0,1
266,1,1,1,28,13,"9,00E+05",15,1,0,1
267,1,1,2,25,13,"5,00E+05",15,1,0,0
268,1,1,1,37,13,"4,00E+05",14,1,0,0
269,1,1,1,25,13,444167,15,1,0,0
270,1,1,1,29,11,860000,12,1,0,1
271,1,1,2,28,11,380000,12,1,0,0
272,1,1,1,25,13,509167,15,1,0,0
273,1,1,1,39,13,1300000,15,1,0,1
274,1,1,1,29,13,902333,15,1,0,1
275,1,1,2,23,13,653750,15,1,0,1
276,1,1,1,27,13,"5,00E+05",15,1,0,0
277,1,1,1,34,15,"7,00E+05",16,1,1,1
278,1,1,2,27,13,388000,15,1,0,0
279,1,1,1,42,9,"5,00E+05",12,1,0,0
280,1,1,1,40,9,750000,12,1,0,1
281,1,1,2,41,11,650000,12,1,0,1
282,1,1,1,24,11,"7,00E+05",12,1,0,1
283,1,1,2,27,11,450000,12,1,0,0
284,1,1,1,28,13,350000,15,1,0,0
285,1,1,1,25,13,455833,15,1,0,0
286,1,1,1,30,13,510000,15,1,0,0
287,1,1,1,33,13,955000,15,1,0,1
288,1,1,2,33,15,"6,00E+05",17,1,1,1
289,1,1,1,23,11,"6,00E+05",12,1,0,1
290,1,1,2,24,11,250000,12,1,0,0
291,1,1,1,41,7,"4,00E+05",8,1,0,0
292,1,1,2,40,7,281000,8,1,0,0
293,1,1,2,53,7,"1,00E+05",8,1,0,0
294,1,1,1,29,9,541333,10,1,0,1
295,1,1,1,43,7,150000,8,1,0,0
296,1,1,1,26,11,714250,9,1,0,1
297,1,1,1,70,7,281250,8,1,0,0
298,1,1,1,32,9,281250,10,1,0,0
299,1,1,1,52,7,316667,8,1,0,0
300,1,1,1,21,7,"3,00E+05",3,1,0,0
301,1,1,2,24,9,20000,10,1,0,0
302,3,1,2,48,9,270000,12,1,0,0
303,3,1,1,42,9,"4,00E+05",12,1,0,0
304,3,1,1,25,9,353000,12,1,0,0
305,3,1,2,27,9,270000,12,1,0,0
306,3,1,1,30,9,350000,12,1,0,0
307,3,1,2,24,9,274167,12,1,0,0
308,3,1,1,19,7,"1,00E+05",7,1,0,0
309,1,1,1,71,6,"3,00E+05",6,1,0,0
310,1,1,1,65,6,"2,00E+05",5,1,0,0
311,1,1,1,63,6,50000,6,1,0,0
312,1,1,1,49,14,295000,14,1,0,0
313,1,1,2,23,9,50000,12,1,0,0
314,1,1,1,33,9,195000,10,1,0,0
315,1,1,2,32,15,1014167,17,1,1,1
316,1,1,2,31,15,814167,17,1,1,1
317,1,1,1,31,15,1594167,19,1,1,1
318,1,1,1,51,9,530000,10,1,0,1
319,1,1,2,24,13,280000,15,1,0,0
320,3,1,1,32,7,273000,4,1,0,0
321,1,1,2,31,11,146667,12,1,0,0
322,3,1,1,47,7,380000,8,1,0,0
323,3,1,1,37,9,550000,12,1,0,1
324,1,1,1,47,9,366000,12,1,0,0
325,1,1,2,47,9,"3,00E+05",12,1,0,0
326,1,1,1,64,8,350000,12,1,0,0
327,1,1,1,27,9,534167,12,1,0,1
328,1,1,1,31,9,"6,00E+05",11,1,0,1
329,1,1,2,30,9,"2,00E+05",9,1,0,0
